GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALUBE001,NAME_M,ALUBM001
"G010","2015-2019","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01",,,"Alabama",4876250,"Alabama",0
"G020","2015-2019","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02",,,"Alaska",737068,"Alaska",0
"G040","2015-2019","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04",,,"Arizona",7050299,"Arizona",0
"G050","2015-2019","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05",,,"Arkansas",2999370,"Arkansas",0
"G060","2015-2019","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06",,,"California",39283497,"California",0
"G080","2015-2019","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08",,,"Colorado",5610349,"Colorado",0
"G090","2015-2019","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09",,,"Connecticut",3575074,"Connecticut",0
"G100","2015-2019","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10",,,"Delaware",957248,"Delaware",0
"G110","2015-2019","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11",,,"District of Columbia",692683,"District of Columbia",0
"G120","2015-2019","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12",,,"Florida",20901636,"Florida",0
"G130","2015-2019","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13",,,"Georgia",10403847,"Georgia",0
"G150","2015-2019","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15",,,"Hawaii",1422094,"Hawaii",0
"G160","2015-2019","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16",,,"Idaho",1717750,"Idaho",0
"G170","2015-2019","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17",,,"Illinois",12770631,"Illinois",0
"G180","2015-2019","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18",,,"Indiana",6665703,"Indiana",0
"G190","2015-2019","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19",,,"Iowa",3139508,"Iowa",0
"G200","2015-2019","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20",,,"Kansas",2910652,"Kansas",0
"G210","2015-2019","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21",,,"Kentucky",4449052,"Kentucky",0
"G220","2015-2019","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22",,,"Louisiana",4664362,"Louisiana",0
"G230","2015-2019","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23",,,"Maine",1335492,"Maine",0
"G240","2015-2019","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24",,,"Maryland",6018848,"Maryland",0
"G250","2015-2019","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25",,,"Massachusetts",6850553,"Massachusetts",0
"G260","2015-2019","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26",,,"Michigan",9965265,"Michigan",0
"G270","2015-2019","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27",,,"Minnesota",5563378,"Minnesota",0
"G280","2015-2019","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28",,,"Mississippi",2984418,"Mississippi",0
"G290","2015-2019","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29",,,"Missouri",6104910,"Missouri",0
"G300","2015-2019","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30",,,"Montana",1050649,"Montana",0
"G310","2015-2019","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31",,,"Nebraska",1914571,"Nebraska",0
"G320","2015-2019","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32",,,"Nevada",2972382,"Nevada",0
"G330","2015-2019","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33",,,"New Hampshire",1348124,"New Hampshire",0
"G340","2015-2019","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34",,,"New Jersey",8878503,"New Jersey",0
"G350","2015-2019","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35",,,"New Mexico",2092454,"New Mexico",0
"G360","2015-2019","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US36",,,"New York",19572319,"New York",0
"G370","2015-2019","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US37",,,"North Carolina",10264876,"North Carolina",0
"G380","2015-2019","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US38",,,"North Dakota",756717,"North Dakota",0
"G390","2015-2019","OH",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US39",,,"Ohio",11655397,"Ohio",0
"G400","2015-2019","OK",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US40",,,"Oklahoma",3932870,"Oklahoma",0
"G410","2015-2019","OR",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US41",,,"Oregon",4129803,"Oregon",0
"G420","2015-2019","PA",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US42",,,"Pennsylvania",12791530,"Pennsylvania",0
"G440","2015-2019","RI",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US44",,,"Rhode Island",1057231,"Rhode Island",0
"G450","2015-2019","SC",,,"South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US45",,,"South Carolina",5020806,"South Carolina",0
"G460","2015-2019","SD",,,"South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US46",,,"South Dakota",870638,"South Dakota",0
"G470","2015-2019","TN",,,"Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US47",,,"Tennessee",6709356,"Tennessee",0
"G480","2015-2019","TX",,,"Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US48",,,"Texas",28260856,"Texas",0
"G490","2015-2019","UT",,,"Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US49",,,"Utah",3096848,"Utah",0
"G500","2015-2019","VT",,,"Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US50",,,"Vermont",624313,"Vermont",0
"G510","2015-2019","VA",,,"Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US51",,,"Virginia",8454463,"Virginia",0
"G530","2015-2019","WA",,,"Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US53",,,"Washington",7404107,"Washington",0
"G540","2015-2019","WV",,,"West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US54",,,"West Virginia",1817305,"West Virginia",0
"G550","2015-2019","WI",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US55",,,"Wisconsin",5790716,"Wisconsin",0
"G560","2015-2019","WY",,,"Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US56",,,"Wyoming",581024,"Wyoming",0
"G720","2015-2019","PR",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US72",,,"Puerto Rico",3318447,"Puerto Rico",0
